id,statement_text,topic_area,severity,emotional_markers,factual_claim,source_category,source_url,verified,notes
15,"Mental illness affects over a billion people globally, yet most countries spend less than 2% of their health budgets on mental health services.",public-health,3,scope (over a billion); comparative inadequacy,Global mental health prevalence and underfunding,WHO Mental Health Atlas,,yes,
16,The COVID-19 pandemic killed over seven million people worldwide and devastated families in every country on Earth.,public-health,4,"visceral (killed, devastated); scope (seven million, every country)",Global COVID-19 mortality,"WHO COVID-19 dashboard; excess mortality studies (Lancet, IHME)",,yes,
17,"Antimicrobial resistance is silently killing over a million people each year, a looming public-health catastrophe that grows worse with every passing year.",public-health,3,"visceral (silently killing); intensifier (looming, catastrophe)",Annual deaths attributable to antimicrobial resistance,The Lancet AMR Burden study (Murray et al. 2022),,yes,
18,"Suicide is the second leading cause of death among young people aged 15-24, a tragedy that mental-health services remain dangerously underresourced to address.",public-health,4,"intensifier (tragedy, dangerously); moral judgement (underresourced)",Youth suicide ranked among leading causes of death,WHO youth mortality data; CDC leading causes of death; national health statistics,,yes,
19,"Childhood vaccines prevent millions of deaths every year, protecting the most vulnerable from diseases that once devastated entire generations.",public-health,2,"scope (millions, entire generations); vulnerability (most vulnerable); intensifier (devastated)",Lives saved by childhood immunisation programmes,WHO immunisation coverage data; CDC vaccine effectiveness,,yes,
20,"Air pollution kills approximately seven million people each year, more than tobacco kills in most countries, and the burden falls hardest on the poor.",public-health,3,visceral (kills); comparative; vulnerability (the poor),Global air pollution mortality and equity dimensions,WHO air pollution and health data,,yes,
21,The Holocaust murdered approximately six million Jewish people in an act of state-sponsored extermination unparalleled in modern history.,historical,5,moral judgement (murdered); visceral (extermination); intensifier (unparalleled),Holocaust death toll,USHMM; Yad Vashem; established historical scholarship,,yes,
22,"The transatlantic slave trade enslaved approximately 12.5 million Africans over four centuries, with millions dying in horrific conditions before reaching the Americas.",historical,5,"visceral (enslaved, dying); intensifier (horrific); scope (12.5 million)",Scale of transatlantic slave trade and middle-passage mortality,Trans-Atlantic Slave Trade Database (slavevoyages.org); established historical scholarship,,yes,
23,"The Cambodian genocide saw nearly two million people executed, starved, or worked to death under the Khmer Rouge regime.",historical,4,"visceral (executed, starved, worked to death); scope (two million)",Cambodian genocide death toll,Documentation Center of Cambodia; established historical scholarship,,yes,
24,"The Rwandan genocide killed approximately 800,000 Tutsis in a hundred days while the international community watched and refused to intervene.",historical,5,"visceral (killed); moral judgement (watched and refused to intervene); scope (800,000)",Rwandan genocide death toll and international response,UN reports; ICTR documentation; established historical scholarship,,yes,
25,"The 1918 influenza pandemic killed an estimated 50 million people worldwide, devastating communities and shaping public health for generations.",historical,4,"visceral (killed, devastating); scope (50 million); for generations",1918 flu pandemic mortality,CDC historical estimates; peer-reviewed epidemiology,,yes,
26,"The atomic bombings of Hiroshima and Nagasaki killed over 200,000 civilians, most of them women, children, and elderly people who had no part in the war.",historical,4,"visceral (killed); vulnerability (women, children, elderly); moral framing (no part in the war)",Civilian casualties of the atomic bombings,Official Japanese government estimates; Manhattan Engineer District; established historical scholarship,,yes,
27,The Triangle Shirtwaist Factory fire killed 146 young women workers locked inside the building because the owners feared theft more than their lives.,historical,3,vulnerability (young women workers); attribution of blame (owners feared theft more than their lives),1911 Triangle Shirtwaist Factory fire facts,Established historical scholarship; Cornell University Kheel Center archives,,yes,
28,"The Bengal famine of 1943 killed an estimated three million people in British India, a catastrophe shaped by colonial policy and wartime priorities.",historical,4,visceral (killed); intensifier (catastrophe); attribution of blame (colonial policy),Bengal famine death toll and policy context,"Established historical scholarship (Sen, Mukerjee); UK Parliamentary records",,yes,
29,"Indigenous children in Canada were forcibly removed from their families and sent to residential schools for over a century, where thousands died and many suffered abuse.",historical,4,"visceral (forcibly removed, died, suffered abuse); vulnerability (children); scope (over a century, thousands)",Canadian Indian residential school system harms,Truth and Reconciliation Commission of Canada Final Report (2015),,yes,
30,"The Spanish conquest of the Americas led to population collapses of more than 90% in some regions, primarily through disease and violence.",historical,3,"visceral (collapses, violence); scope (90%)",Indigenous population decline in the colonial Americas,"Established historical scholarship; demographic research (Cook, Borah)",,yes,
31,"The richest 1% of humanity now control nearly half of global wealth, while the poorest half of the world's population holds just 2% — a staggering inequality that defines our era.",inequality,4,intensifier (staggering); comparative (1% vs poorest half),Global wealth distribution,World Inequality Database (Chancel et al.); Oxfam annual inequality report; Credit Suisse Global Wealth Report,,yes,
32,"Women still earn approximately 20% less than men for comparable work in many developed economies, a gap that has stubbornly persisted for decades.",inequality,3,intensifier (stubbornly); for decades,Persistent gender pay gap,OECD gender wage gap statistics; U.S. Bureau of Labor Statistics,,yes,
33,"Black Americans hold roughly one-tenth the household wealth of white Americans on average — a chasm built on centuries of slavery, segregation, and discriminatory policy.",inequality,4,"visceral (chasm); historical attribution (centuries of slavery, segregation)",U.S. racial wealth gap,Federal Reserve Survey of Consumer Finances; Brookings racial wealth research,,yes,
34,"Hundreds of millions of children worldwide labour in dangerous conditions to keep their families fed, while wealthy consumers benefit from cheap goods produced by their suffering.",inequality,3,"visceral (dangerous, suffering); vulnerability (children); attribution of blame (wealthy consumers benefit)",Global child labour scale and supply chains,ILO and UNICEF child labour reports,,yes,
35,"More than 700 million people live in extreme poverty on less than $2.15 a day, while a handful of billionaires hoard more wealth than they could spend in a thousand lifetimes.",inequality,5,"visceral (hoard); scope (700 million, thousand lifetimes); contrast",Extreme poverty count and billionaire wealth,World Bank poverty data; Forbes billionaire wealth lists,,yes,
36,"Education funding in poor neighbourhoods can be tens of thousands of dollars less per student than in wealthy areas of the same country, ensuring poverty passes from one generation to the next.",inequality,3,moral judgement (ensuring poverty passes from one generation to the next); comparative,Education funding disparities between rich and poor areas,U.S. Department of Education funding data; EdBuild reports,,yes,
37,"Indigenous peoples make up less than 5% of the global population but suffer some of the highest rates of poverty, displacement, and premature death anywhere on Earth.",inequality,4,"visceral (suffer, premature death); vulnerability (Indigenous peoples); scope",Indigenous health and economic disparities,UN State of the World's Indigenous Peoples reports; World Bank,,yes,
38,"Decades of housing discrimination have left Black families on average $200,000 poorer in home equity than white families with similar incomes.",inequality,3,historical attribution (decades of housing discrimination),U.S. racial gap in housing wealth,"HUD reports; peer-reviewed housing economics research (Rothstein, Sharkey)",,yes,
39,"Workers in poor countries produce the clothes, food, and electronics wealthy consumers depend on, often for wages so low they cannot afford basic necessities themselves.",inequality,4,moral framing (cannot afford basic necessities); attribution of blame (wealthy consumers depend on),Global supply chain wage disparities,ILO global wage report; peer-reviewed labour economics research,,yes,
40,"Single mothers face higher rates of poverty than nearly any other group in the developed world, often forced to choose between paying rent and feeding their children.",inequality,3,visceral (forced to choose between paying rent and feeding their children); vulnerability (single mothers),Single-parent poverty rates,U.S. Census Bureau; OECD family poverty statistics,,yes,
41,"Mass shootings have become a uniquely American epidemic, killing thousands each year while political leaders refuse to enact meaningful reform.",public-safety,4,visceral (killing); attribution of blame (political leaders refuse); intensifier (uniquely American epidemic),U.S. firearm mortality and political inaction,Gun Violence Archive; CDC firearm mortality data,,yes,
42,"Domestic violence kills approximately three women a day in the United States, mostly at the hands of intimate partners who have been allowed to remain dangerous despite repeated warnings.",public-safety,4,"visceral (kills, dangerous); attribution of blame (allowed to remain dangerous); vulnerability (women)",U.S. intimate partner homicide rate,Violence Policy Center reports; FBI Supplementary Homicide Reports; CDC NVDRS,,yes,
43,"Road traffic deaths claim approximately 1.2 million lives each year worldwide, with the burden falling disproportionately on pedestrians and cyclists in poor countries.",public-safety,3,visceral (claim); vulnerability (pedestrians and cyclists in poor countries),Global road traffic mortality and equity,WHO Global Status Report on Road Safety,,yes,
44,"Drowning kills tens of thousands of children every year, with most deaths preventable through basic safety measures that poor communities lack the resources to provide.",public-safety,4,"visceral (kills); vulnerability (children); moral framing (preventable, lack the resources)",Childhood drowning mortality globally,WHO Global Report on Drowning; CDC unintentional injury statistics,,yes,
45,"Children in war zones are being killed, maimed, and orphaned in numbers that shock even seasoned observers of conflict — a moral catastrophe the world refuses to confront.",public-safety,5,"visceral (killed, maimed, orphaned); vulnerability (children); moral judgement (catastrophe, refuses to confront)",Child casualties of contemporary armed conflict,UNICEF reports on children in armed conflict; UN Secretary-General annual reports,,yes,
46,"Workplace accidents kill nearly three million workers globally every year, most preventable, while employers face few real consequences for negligence.",public-safety,3,"visceral (kill); moral framing (preventable, few real consequences, negligence)",Global occupational fatality count,ILO occupational safety statistics; ILO World Statistic on the burden of occupational injury,,yes,
47,"Police killings in the United States consistently fall hardest on Black Americans, with Black people killed at rates substantially higher than white Americans relative to population.",public-safety,4,"visceral (killings, killed); vulnerability (Black Americans); comparative",Racial disparities in U.S. police use of lethal force,Mapping Police Violence; Washington Post Fatal Force database; peer-reviewed studies,,yes,
48,"Suicide claims more American lives each year than car accidents or homicide, yet receives a small fraction of the public-health attention either of those crises gets.",public-safety,3,visceral (claims); comparative (more than car accidents or homicide); moral framing (small fraction),U.S. suicide mortality compared with other causes,CDC WONDER mortality database; National Vital Statistics System,,yes,
49,Workers in the global garment industry have died in factory fires and building collapses while major brands continue to source from facilities they know to be unsafe.,public-safety,4,"visceral (died, collapses); attribution of blame (continue to source from facilities they know to be unsafe)",Garment industry safety failures (Rana Plaza, factory fires),,yes,
50,"Drug overdoses now kill more than 100,000 Americans each year, with synthetic opioids like fentanyl driving a death toll that continues to climb.",public-safety,3,visceral (kill); intensifier (death toll that continues to climb),U.S. annual drug overdose deaths,CDC National Center for Health Statistics provisional overdose data,,yes,
